,district,price,age,newness,squaremeters
3950, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
3951, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
3952, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
3953, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
3954, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
3955, Beylikdüzü ,899000,4,Sıfır,100 m2
3956, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
3957, Beylikdüzü ,2580000,0 (Yeni),140 m2,
3958, Beylikdüzü ,2450000,0 (Yeni),220 m2,
3959, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
3960, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
3961, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
3962, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
3963, Beylikdüzü ,899000,4,İkinci El,100 m2
3964, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
3965, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
3966, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
3967, Güngören ,2200000,21 Ve Üzeri,130 m2,
3968, Esenyurt ,1750000,4,İkinci El,130 m2
3969, Gaziosmanpaşa ,125000000,5-10,85 m2,
3970, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
3971, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
3972, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
3973, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
3974, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
3975, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
3976, Beylikdüzü ,899000,4,Sıfır,100 m2
3977, Beylikdüzü ,3389000,4,130 m2,
3978, Bağcılar ,2000000,5-10,İkinci El,120 m2
3979, Beylikdüzü ,1599999,0 (Yeni),Sıfır,105 m2
3980, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
3981, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
3982, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
3983, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
3984, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
3985, Beylikdüzü ,899000,4,Sıfır,100 m2
3986, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
3987, Beylikdüzü ,2580000,0 (Yeni),140 m2,
3988, Beylikdüzü ,2450000,0 (Yeni),220 m2,
3989, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
3990, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
3991, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
3992, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
3993, Beylikdüzü ,899000,4,İkinci El,100 m2
3994, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
3995, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
3996, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
3997, Güngören ,2200000,21 Ve Üzeri,130 m2,
3998, Esenyurt ,1750000,4,İkinci El,130 m2
3999, Gaziosmanpaşa ,125000000,5-10,85 m2,
4000, Bahçelievler ,1200000,21 Ve Üzeri,İkinci El,100 m2
4001, Küçükçekmece ,780000,21 Ve Üzeri,İkinci El,100 m2
4002, Beylikdüzü ,2039999,0 (Yeni),Sıfır,97 m2
4003, Beylikdüzü ,1699999,0 (Yeni),110 m2,Sıfır
4004, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
4005, Beylikdüzü ,1400000,5-10,Sıfır,100 m2
4006, Beylikdüzü ,899000,4,Sıfır,100 m2
4007, Beylikdüzü ,3389000,4,130 m2,
4008, Bağcılar ,2000000,5-10,İkinci El,120 m2
4009, Beylikdüzü ,1599999,0 (Yeni),Sıfır,105 m2
4010, Beylikdüzü ,499000,0 (Yeni),Sıfır,130 m2
4011, Beylikdüzü ,1149000,0 (Yeni),Sıfır,240 m2
4012, Beylikdüzü ,950000,0 (Yeni),Sıfır,110 m2
4013, Beylikdüzü ,769000,0 (Yeni),Sıfır,105 m2
4014, Beylikdüzü ,1200000,5-10,Sıfır,100 m2
4015, Beylikdüzü ,899000,4,Sıfır,100 m2
4016, Beylikdüzü ,2400000,11-15,İkinci El,145 m2
4017, Beylikdüzü ,2580000,0 (Yeni),140 m2,
4018, Beylikdüzü ,2450000,0 (Yeni),220 m2,
4019, Beylikdüzü ,1700000,0 (Yeni),Sıfır,100 m2
4020, Beylikdüzü ,1700000,0 (Yeni),Sıfır,165 m2
4021, Beylikdüzü ,2399999,0 (Yeni),Sıfır,115 m2
4022, Beylikdüzü ,2865000,0 (Yeni),Sıfır,260 m2
4023, Beylikdüzü ,899000,4,İkinci El,100 m2
4024, Beylikdüzü ,1550000,0 (Yeni),Sıfır,105 m2
4025, Beylikdüzü ,1250000,5-10,Sıfır,70 m2
4026, Beylikdüzü ,22000000,0 (Yeni),Sıfır,450 m2
4027, Güngören ,2200000,21 Ve Üzeri,130 m2,
